case_id,time_s,eta_prime_m,incident_eta_prime_m,reflected_eta_prime_m,linear_inlet_velocity_m_per_s,c0_m_per_s
reflective_control,0.0,3.286803016823809e-08,3.286803016823809e-08,4.6424020378272996e-95,7.278116732449244e-08,4.428690551393267
reflective_control,0.01,3.807484264199869e-08,3.807484264199869e-08,8.370131829801191e-95,8.431084792720252e-08,4.428690551393267
reflective_control,0.02,4.407050542170513e-08,4.407050542170513e-08,1.5078818789753134e-94,9.758731547811561e-08,4.428690551393267
reflective_control,0.03,5.0968683868988034e-08,5.0968683868988034e-08,2.7142373340717047e-94,1.1286226433376886e-07,4.428690551393267
reflective_control,0.04,5.889850632024774e-08,5.889850632024774e-08,4.881730403380893e-94,1.3042162921582887e-07,4.428690551393267
reflective_control,0.05,6.800653018011183e-08,6.800653018011183e-08,8.772941575513858e-94,1.5058993882085115e-07,4.428690551393267
reflective_control,0.06,7.845893822306154e-08,7.845893822306154e-08,1.5752959504862234e-93,1.737351791904103e-07,4.428690551393267
reflective_control,0.07,9.044398934035143e-08,9.044398934035143e-08,2.8263409436902407e-93,2.0027422051096385e-07,4.428690551393267
reflective_control,0.08,1.0417475016448153e-07,1.0417475016448153e-07,5.066784312033218e-93,2.3067886587359673e-07,4.428690551393267
reflective_control,0.09,1.1989213635244934e-07,1.1989213635244934e-07,9.07581758358655e-93,2.654825857252228e-07,4.428690551393267
reflective_control,0.1,1.378682948169785e-07,1.378682948169785e-07,1.6243685537833298e-92,3.05288007296327e-07,4.428690551393267
reflective_control,0.11,1.5841036086646757e-07,1.5841036086646757e-07,2.9048844534978406e-92,3.507752342060613e-07,4.428690551393267
reflective_control,0.12,1.8186462705333914e-07,1.8186462705333914e-07,5.190612701404952e-92,4.0271107773189166e-07,4.428690551393267
reflective_control,0.13,2.0862116353978046e-07,2.0862116353978046e-07,9.267313649302792e-92,4.619592878946476e-07,4.428690551393267
reflective_control,0.14,2.3911893297141114e-07,2.3911893297141114e-07,1.6532349293640923e-91,5.294918795548641e-07,4.428690551393267
reflective_control,0.15,2.738514462039532e-07,2.738514462039532e-07,2.946868503025108e-91,6.064016561444145e-07,4.428690551393267
reflective_control,0.16,3.13373008754642e-07,3.13373008754642e-07,5.248466328265661e-91,6.939160414666812e-07,4.428690551393267
reflective_control,0.17,3.583056115467602e-07,3.583056115467602e-07,9.340057450929289e-91,7.934123381841614e-07,4.428690551393267
reflective_control,0.18,4.0934652337793904e-07,4.0934652337793904e-07,1.6607801819233747e-90,9.064345401647808e-07,4.428690551393267
