comparison_id,coarse_level,fine_level,refinement_ratio_actual_h,eta_waveform_nrmse,qn_waveform_nrmse,Qn_waveform_nrmse,qbar_waveform_nrmse,eta_distributed_nrmse,qn_distributed_nrmse
h400_vs_h500,h500,h400,1.2472572649343499,0.07007439394376061,0.05280088902681078,0.09128460136668014,0.09128460136668015,0.027605944675546893,0.0572192705490681
h300_vs_h400,h400,h300,1.3271331257702774,0.5043090175725431,1.225976541239782,0.4784379614303039,0.47843796143030376,0.14317153704071578,0.2496688889318955
h300_vs_h500,h500,h300,1.6552764326520106,0.4545193248817649,1.2792145211494144,0.5770944219202252,0.5770944219202253,0.15171726863720641,0.2606855608080244
