level_id,status,study_id,requested_solver_target_m,active_cells,total_cells,actual_characteristic_mesh_size_m,achieved_final_time_s,wall_clock_s,peak_memory_kb,diagnostics_rows,step_count,min_dt_s,mean_dt_s,median_dt_s,max_dt_s,rejected_attempts_total,source_restriction_rows,forcing_window_peak_eta_m,peak_eta_time_s,forcing_window_peak_qn_m2_per_s,peak_qn_time_s,forcing_window_peak_Qn_m3_per_s,peak_Qn_time_s,forcing_window_peak_qbar_m2_per_s,peak_qbar_time_s,arrival_time_proxy_s,wet_cell_min,wet_cell_max,classification_note
h1000,passed,regional-spatial-frozen-terrain-v4,1000.0,2420,2420,638.3173897881047,600.0,615.5663920850002,38344,6009,6009,1.1368683772161603e-12,0.09985022466299447,0.1,0.1,0,6009,0.8627431707728945,485.0,4.2421347278949835,545.0,18621.61022358473,545.0,2.327701277948091,545.0,245.0,2420,2420,not_spatially_qualified
h800,passed,regional-spatial-frozen-terrain-v4,800.0,3746,3746,513.0509222423659,600.0,3027.0022217920005,40320,13200,13200,0.04508963168253158,0.045454545454545615,0.04509496311722423,0.08522836837954628,13080,13200,0.8440524388611479,470.0,5.007484874064481,545.0,21453.25637811121,545.0,2.681657047263901,545.0,245.0,3746,3746,not_spatially_qualified
h600,passed,regional-spatial-frozen-terrain-v4,600.0,6554,6554,387.8744212827467,600.0,8601.856548497002,50616,21600,21600,0.027697313102764413,0.0277777777777778,0.02770214852930565,0.042170336937751074,21480,21600,0.8953772550503061,470.0,4.732449752386133,545.0,17253.39996052517,545.0,2.156674995065646,545.0,245.0,6554,6554,not_spatially_qualified
