run,source_asset,source_dataset_resolution_m,terrain_processing_resolution_m,solver_target_m,actual_h_m,terrain_raster_width,terrain_raster_height,terrain_intermediate_sha256,terrain_metadata_sha256,source_representation_sha256,source_metadata_sha256,solver_mesh_sha256
h1000,ETOPO 2022 v1 15 arc-second surface + USGS finite-fault,463.0,1000.0,1000.0,638.4873841390253,124,8,45e5ab63a69e77ec11b293c39cbb93dd0df30a4f24d1a4f4d9515267a01f1363,225b7c6df2a38b139998266c903ad2aa2cefa426c54026bb3703dde48f7b0cd4,88f58bb256c8e5ff7baa8ec662118572b1e6a1b38b0fdd9b85a0541ddf6f6498,07327c6f46195818dc05752c52117108b151244e2abdec767fd4433b8859e2a1,ab12fd66ec419e09ff8471e70573e176c2198fe68722eda2df07c795a4c3355a
h900,ETOPO 2022 v1 15 arc-second surface + USGS finite-fault,463.0,900.0,900.0,595.9281252670686,138,9,db998bf94e14bd761bd68fe30d2d7fc068b76282e4cf3d39b1d0b7c592481793,02b5146d90bd500e8d49f777b194f9d066088b7e493fbc837fb58467a0447549,3f0ecf0d79795971cc24cfee65114139f14764e4ba85fe4a697169aac355cd2c,4d2057447cae61877bcc0f5aa2aa73a38dd7d6c75098a6ee1947bbbf12ecda05,8e8d9397b73253c50f613b6014f1a387260ee232b32e824c3cdf9083eed30125
h800,ETOPO 2022 v1 15 arc-second surface + USGS finite-fault,463.0,800.0,800.0,514.5630277465905,155,10,85897bdc141ffea2859252a6ff7026acdf4216275798d285f6813d671c998986,5aa5c77f6fc485c63ce1bdc12926cbc491ede0c02aab42bb60e9fdb9183ac462,a8c55d17a938203348d6cee928bb35149d395c482b0a8454bd8289535d4bf318,cb773ed1027eebec3453227a00ec5e09e5b4f1733a9a18e163097ca143f83d44,9f4ebc5417425299fb513093376225a7bdf850f27e4e27813228fb60f333e072
