group_id,process_count,levels,threads_per_process,wall_s,sim_s_total,aggregate_sim_s_per_wall_s,throughput_speedup_vs_h600_single,equivalent_sequential_wall_s,wall_speedup_vs_equivalent_sequential,median_individual_slowdown_factor,max_individual_slowdown_factor,active_logical_cpu_estimate,system_cpu_util_percent,peak_rss_mib,write_mib,read_mib
ensemble-p1,1,h600,1,15.037938817004033,1.0,0.06649847510147187,0.9999910116669137,15.037803651001013,0.9999910116669136,1.0055887914853532,1.0055887914853532,0.9303136666695915,10.887147204735903,43.14453125,0.484375,0.0
ensemble-p2,2,h600+h500,1,21.052771715993003,2.0,0.09499936763579091,1.428581837476284,36.09163708599954,1.7143413500552076,1.0030334720776963,1.0071002256606374,1.6145142529702665,12.403539612072823,90.078125,1.20703125,0.0
ensemble-p3,3,h600+h500+h450,1,29.076436387003923,3.0,0.10317633014136793,1.5515453940967485,65.1562394979992,2.240860559071867,1.0045872712197188,1.0065237716961104,2.1319669018211322,14.991537209327399,137.39453125,2.0390625,0.0
ensemble-p4,4,h600+h500+h450+h400,1,43.11870461899525,4.0,0.09276716532522788,1.3950144174207264,108.27314327199565,2.5110481455488265,1.0052015669213858,1.0099543757776857,2.412178216369238,15.830466812598631,186.8359375,3.0703125,0.0
