level,actual_h_m,active_cells,faces,boundary_faces,area_min_m2,area_p01_m2,area_p05_m2,area_mean_m2,area_median_m2,area_p95_m2,area_p99_m2,area_max_m2,edge_min_m,edge_mean_m,edge_max_m,min_angle_p01_deg,min_angle_p05_deg,min_angle_median_deg,aspect_ratio_p99,aspect_ratio_max,radius_ratio_p01,radius_ratio_p05,bed_projection_rmse_adjacent_m,eta_forcing_nrmse_adjacent,qn_forcing_nrmse_adjacent,Qn_forcing_nrmse_adjacent
h600,387.8744212827467,6554,10051,440,75235.70026672684,101671.62216988642,117604.36061632697,150446.56668542567,154488.29789315432,166181.34117958375,178539.68524940795,211950.56549647317,380.80154559565545,591.2617421794578,826.2620390041972,44.18264660422152,47.37727514286733,59.13078874431874,1.7785788403249225,2.5009482596081773,0.8897622562411198,0.9340491299638144,,,,
h500,324.8463147653671,9344,14279,526,61585.46265382242,71891.66987170647,85567.80941219053,105525.12821663993,107929.10984075147,119035.30062858232,126671.58718235402,153768.81155676005,344.0562966441556,494.5509465095214,704.9348325781086,45.507918773380794,48.0268161057087,59.94666744696207,1.6715703582400587,2.085662446435449,0.9186480093683079,0.9506144090300073,1.8194722226083726,0.3668932056827411,0.3932588825553776,0.26424997962113733
h450,295.50097924251804,11292,17231,586,46860.227222119014,61073.08801615475,76223.03549325335,87320.82873328707,87221.65616654855,96422.00568354585,103967.35408486173,128825.93684078418,284.52234430145234,449.4729140513822,593.6731506818306,43.59062496558593,49.015482167826946,59.59755052415265,1.6908484136723705,2.4969302296663054,0.9062074218272196,0.9545176938022083,1.324405307531407,0.14588196809767875,0.15395826799189624,0.19662981155237189
h400,260.44852485382444,14536,22133,658,38313.435331111774,47931.84926917375,57147.47200332684,67833.43409853321,68962.90426647024,75493.8458948777,80805.84757313624,94473.18215239188,273.6769382827299,396.41973971113015,536.1763406595544,45.88263985262476,48.6554108691646,59.97728494665798,1.6338623575411393,2.0999185864799497,0.9236935989851527,0.9545122109009745,1.0690479808131528,0.3202434116829805,0.15236916871765604,0.21559510271944649
