level_id,status,study_id,requested_solver_spacing_m,solver_mesh_target_size_m,active_cells,total_cells,actual_characteristic_mesh_size_m,achieved_final_time_s,wall_clock_s,peak_memory_kb,diagnostics_rows,step_count,min_dt_s,mean_dt_s,median_dt_s,max_dt_s,rejected_attempts_total,source_restriction_rows,forcing_window_peak_eta_m,peak_eta_time_s,forcing_window_peak_qn_m2_per_s,peak_qn_time_s,forcing_window_peak_Qn_m3_per_s,peak_Qn_time_s,forcing_window_peak_qbar_m2_per_s,peak_qbar_time_s,wet_cell_min,wet_cell_max,classification_note
h1000,passed,regional-spatial-fine-resolution-v3,1000.0,1000.0,2420,,638.4873841390253,600.0,,,6009,6009,1.1368683772161603e-12,0.09985022466299445,0.1,0.1,,,0.8627431707728945,485.0,4.2421347278949835,545.0,18621.610223584725,545.0,2.3277012779480906,545.0,2420,2420,valid C1A-R3 spatial level; waveform qualification failed
h900,passed,regional-spatial-fine-resolution-v3,900.0,900.0,2778,3072,595.9281252670686,600.0,2080.9598470000055,103092,12120,12120,0.049315179753642795,0.049504950495049535,0.049317244127641255,0.06847782289062465,12000,12120,0.956647199894185,545.0,5.920929576066419,545.0,17983.587551708602,545.0,2.2479484439635753,545.0,2778,2778,valid C1A-R3 spatial level; waveform qualification failed
h800,passed,regional-spatial-fine-resolution-v3,800.0,800.0,3726,4056,514.5630277465905,600.0,3078.4186712880037,376780,13440,13440,0.044250991526309506,0.044642857142857116,0.04425306975220246,0.08813257836510502,13320,13440,0.8750845533000415,470.0,4.325998442188209,545.0,17368.20036718715,545.0,2.1710250458983937,545.0,3726,3726,valid C1A-R3 spatial level; waveform qualification failed
h850,mesh_preflight_generated,regional-spatial-fine-resolution-v3,850.0,850.0,3340,3652,543.4840086794221,,,,,,,,,,,,,,,,,,,,,,mesh-only candidate
h750,interrupted_non_evidence,regional-spatial-fine-resolution-v3,750.0,750.0,4008,4360,496.13075199508836,,,,,,,,,,,,,,,,,,,,,,broad pilot interrupted; incomplete record is not convergence evidence
h700,mesh_preflight_generated,regional-spatial-fine-resolution-v3,700.0,700.0,4852,5230,450.9201132046195,,,,,,,,,,,,,,,,,,,,,,mesh-only candidate
h650,pilot_failed_preflight,regional-spatial-fine-resolution-v3,650.0,650.0,5496,5902,423.6787103205285,,,,,,,,,,,,,,,,,,,,,,pilot failed C++ preflight: r2d.preflight.terrain_support_missing
h600,mesh_preflight_generated,regional-spatial-fine-resolution-v3,600.0,600.0,6520,6960,388.9880015508563,,,,,,,,,,,,,,,,,,,,,,mesh-only candidate
