level,columns,rows,cells,faces,actual_h,refinement_ratio_from_previous,mesh_sha256,interior_cell_count,mass_l1,mass_l2,mass_linf,qx_l1,qx_l2,qx_linf,qy_l1,qy_l2,qy_linf,p_mass_l1_from_previous,p_mass_l2_from_previous,p_mass_linf_from_previous,p_qx_l1_from_previous,p_qx_l2_from_previous,p_qx_linf_from_previous,p_qy_l1_from_previous,p_qy_l2_from_previous,p_qy_linf_from_previous
n8,8,8,128,208,0.08838834764831845,,4f5cc97af38a832ae5c4995fd7297f899376ff181672810aa036ed126e5c5eaf,50,1.1934895357659017,1.4834182541449115,3.1591921035870634,2.6980091194227445,3.21569402141052,7.824304344561369,2.8100237509420922,3.26884829108779,6.313699022306494,,,,,,,,,
n16,16,16,512,800,0.04419417382415922,2.0,355d6220c684d8df674db6d215e38afc3493a007c8d22c104e35eab3deb7398a,200,0.7675331814885369,0.9240099822647522,1.9361365892192843,1.4707270051964991,1.8108944096607018,4.471762110655994,1.480570897464284,1.7371770801754705,3.615651171955853,0.6368848906814644,0.6829450847022416,0.7063749324431093,0.8753657447813352,0.8284277107210133,0.8071190468126903,0.9244287485351319,0.9120375989295847,0.8042299909490739
n32,32,32,2048,3136,0.02209708691207961,2.0,4e2222e2ad739500404c237b9dc20b5b1ce3dc07d0047dee49c6da802ece3d2f,722,0.5600701025265202,0.659813816198263,1.3180672160882771,0.7831594591419636,0.9806750190307509,2.5549906697631286,0.7735511272004194,0.9201088603443739,2.028722291068691,0.45462170459174667,0.4858494498580926,0.5547567906260309,0.9091514901463749,0.8848553942226368,0.8075254187735839,0.9365850223065249,0.9168683583361883,0.8336841071096385
n64,64,64,8192,12416,0.011048543456039806,2.0,9651f1d61e8281a1c47be189d99f08aab4cc3ef198fa6df124ff1123aadca403,2888,0.5068674145774383,0.5735932094205283,1.0309920614453176,0.4754792886010017,0.6168020248964418,1.6454952530108695,0.44531758571464,0.5377582007664723,1.219277173678348,0.1439989977518552,0.20203104303711092,0.35439071970962166,0.7199235845332452,0.668967626701232,0.6347961582577143,0.7966620631889274,0.7748469392778206,0.7345452644622842
