level,actual_h,refinement_ratio_from_previous,mass_l1,mass_l2,mass_linf,qx_l1,qx_l2,qx_linf,qy_l1,qy_l2,qy_linf,cells,steps,dt,cfl,final_time,p_mass_l1_from_previous,p_mass_l2_from_previous,p_mass_linf_from_previous,p_qx_l1_from_previous,p_qx_l2_from_previous,p_qx_linf_from_previous,p_qy_l1_from_previous,p_qy_l2_from_previous,p_qy_linf_from_previous
n4,0.1767766952966369,,0.008933986248104042,0.010594126301089378,0.02128123787631142,0.0227584270338581,0.027488042071329856,0.05805698986039176,0.01921419897901563,0.0228579875408965,0.04432422357941054,32,5,0.002,0.06,0.01,,,,,,,,,
n8,0.08838834764831845,2.0,0.006546131346530754,0.007688751953353258,0.01602130361461107,0.012808446376417476,0.016680891234264354,0.0447327666915448,0.010949225824858922,0.012995156835695099,0.02439163298671773,128,10,0.001,0.06,0.01,0.4486614839353053,0.46244327091379966,0.4095905301188284,0.829305356118521,0.7206077778713185,0.37613778221099725,0.8113439667775209,0.8147243461438604,0.8617090120367471
n16,0.04419417382415922,2.0,0.003815800033791926,0.004446960592977398,0.008932076184826165,0.006431702984818825,0.00901702354210353,0.03044083660162178,0.0055517958189747205,0.006660425424584731,0.018795869570776835,512,19,0.0005263157894736842,0.06,0.01,0.7786569808071753,0.7899298171377541,0.8429240795384925,0.9938228022929971,0.8874731784165274,0.5553239820306088,0.9798024510196272,0.9642878101723236,0.3759706861760196
n32,0.02209708691207961,2.0,0.0020522044575260225,0.002376855209876366,0.0046443309925350285,0.003352061295185901,0.0047889917758571765,0.018857666164041942,0.0027948841390509358,0.0034301078605220962,0.012013746283459803,2048,38,0.0002631578947368421,0.06,0.01,0.8948110979118059,0.9037655984450095,0.9435247624998199,0.9401522544528808,0.9129293302475793,0.6908568705236005,0.990166032325412,0.9573603872147863,0.6457295604315372
