comparison_id,coarse_level,fine_level,refinement_ratio_actual_h,eta_waveform_nrmse,qn_waveform_nrmse,Qn_waveform_nrmse,qbar_waveform_nrmse,eta_distributed_nrmse,qn_distributed_nrmse,bed_projection_rmse_m,source_volume_relative_change
h500_vs_h600,h600,h500,1.1940243852324572,0.3668932056827411,0.3932588825553776,0.26424997962113733,0.26424997962113733,0.03240012737938878,0.11330453694958831,1.8194722226083726,9.85183985348603e-16
h450_vs_h600,h600,h450,1.3125994447700888,0.5066730328934387,0.6039372272257076,0.49325026756482754,0.4932502675648276,0.061993274422277374,0.17812097711723893,2.2578098023423068,4.92591992674302e-15
h400_vs_h600,h600,h400,1.489255588989953,0.2607869529029763,0.32356316071146984,0.19937370840293023,0.19937370840293026,0.03010473805251111,0.07878627853541295,1.8991301025702807,4.925919926743017e-16
h450_vs_h500,h500,h450,1.0993070669277387,0.14588196809767875,0.15395826799189624,0.19662981155237189,0.19662981155237186,0.041301676459999125,0.06620410602051646,1.324405307531407,5.9111039120916176e-15
h400_vs_h500,h500,h400,1.2472572649343499,0.12234756068982276,0.0847296111209768,0.09323670710970466,0.09323670710970465,0.02388376843447142,0.05808780222971767,1.272618021584242,4.925919926743015e-16
h400_vs_h450,h450,h400,1.1345849603424194,0.3202434116829805,0.15236916871765604,0.21559510271944649,0.21559510271944649,0.04804419206088657,0.08589628622647613,1.0690479808131528,5.418511919417319e-15
