level,actual_h,refinement_ratio_from_previous,mass_l1,mass_l2,mass_linf,qx_l1,qx_l2,qx_linf,qy_l1,qy_l2,qy_linf,p_mass_l1_from_previous,p_mass_l2_from_previous,p_mass_linf_from_previous,p_qx_l1_from_previous,p_qx_l2_from_previous,p_qx_linf_from_previous,p_qy_l1_from_previous,p_qy_l2_from_previous,p_qy_linf_from_previous
n8,0.08838834764831845,,7.638334409421077e-16,1.084159927676405e-15,2.6645352591003757e-15,3.3484326422694724e-14,5.539147340782003e-14,1.6342482922482304e-13,2.7706725802545407e-14,4.049442259311764e-14,1.247890679678676e-13,,,,,,,,,
n16,0.04419417382415922,2.0,1.4299672557172017e-15,2.1646786775438083e-15,7.993605777301127e-15,5.870304242705515e-14,9.939547784734414e-14,3.339550858072471e-13,7.442824134784587e-14,9.556986679968884e-14,2.7045032879868813e-13,-0.904652123412519,-0.9975753001693025,-1.5849625007211563,-0.8099493296260101,-0.843516301054528,-1.0310268956206246,-1.425613914418565,-1.2388325924639463,-1.1158720976854064
n32,0.02209708691207961,2.0,3.181204145906543e-15,4.512403931144677e-15,1.7763568394002505e-14,1.020211923559425e-13,1.7884534952483967e-13,7.709388682997087e-13,1.443280705782582e-13,1.8165187159256885e-13,5.511147094239277e-13,-1.1535908445831913,-1.0597433285976225,-1.15200309344505,-0.7973616856645265,-0.8474604840211665,-1.206962380766842,-0.9554298667216665,-0.9265485172340062,-1.0269889822240243
n64,0.011048543456039806,2.0,6.532170926049398e-15,9.066359207640997e-15,4.263256414560601e-14,2.0560115629091897e-13,3.5934007580239807e-13,1.5782930518071225e-12,2.875068604243767e-13,3.679264283330984e-13,1.13509202037676e-12,-1.0379895858812616,-1.006627104272282,-1.2630344058337937,-1.0109795109939101,-1.006637237736952,-1.0336767335841988,-0.9942444627392508,-1.0182410793329844,-1.0423847208166377
