level_id,requested_solver_target_m,actual_characteristic_mesh_size_m,active_cells,mesh_sha256,wall_clock_s,step_count,mean_dt_s,median_dt_s,minimum_dt_s,maximum_dt_s,peak_eta_abs_m,peak_qn_abs_m2_per_s,peak_Qn_abs_m3_per_s,peak_qbar_abs_m2_per_s
h600,600.0,387.8744212827467,6554,3bda1d2b4e9d0abc6c35fa4afde4fd885b8dcf9e99947eab1f50b07a99a6faa3,8601.856548497002,21600,0.0277777777777778,0.02770214852930565,0.027697313102764413,0.042170336937751074,0.8953772550503061,4.732449752386133,17253.39996052517,2.156674995065646
h500,500.0,324.8463147653671,9344,c1140e32db3baf8625d6bb172acc397c2c6046b743ac8ef789701dac05526cf3,12360.589113904003,21840,0.027472527472527427,0.0274230194018806,0.0274203340390252,0.036916466917602975,0.8704172720317089,6.40440365026829,21752.89747601573,2.719112184501966
h450,450.0,295.50097924251804,11292,96e0986be7d6416512ffd9fb493873edbc655965b7e0e323e074a5ec4a23eb7c,16980.796969048002,24960,0.02403846153846152,0.023942254124376477,0.023940345868863535,0.044346495925054796,0.8473584912854619,7.668325100158143,26375.078095615063,3.296884761951883
h400,400.0,260.44852485382444,14536,6431004341b17656f8be10f22135bff5d427fc782529d099be49252fcde20982,25622.252824189993,29280,0.020491803278688436,0.020442366275401254,0.0204411844604193,0.032783941320975174,0.8850650071358928,6.28606547847965,22027.52581940275,2.7534407274253434
