level,columns,cells,actual_h,eta_l1,eta_l2,eta_linf,qx_l1,qx_l2,qx_linf,qy_l2,qy_linf,p_eta_l1_from_previous,p_eta_l2_from_previous,p_eta_linf_from_previous,p_qx_l1_from_previous,p_qx_l2_from_previous,p_qx_linf_from_previous
n16,16,32,0.08838834764831845,0.0003305227018223314,0.00038396790002580354,0.0006266080861670577,0.001035201695262782,0.001202526620093016,0.0019618793081425745,0.00016272193363067868,0.00025335377006996396,,,,,,
n32,32,64,0.0625,0.0003399997844383736,0.0003937184905313485,0.0006264865048990576,0.0010649364030822053,0.0012331483765434686,0.0019618070260691116,8.043941867734169e-05,0.00012797842524747693,-0.08156893121423581,-0.07235752574033101,0.0005599088662892536,-0.08171078343834673,-0.07255513816528374,0.00010630920013452637
n64,64,128,0.04419417382415922,0.0003449970950617221,0.00039886087525339365,0.0006381548763441734,0.0010805560734225735,0.0012492471608963375,0.001998550139193589,4.0211004478809595e-05,6.415213541544063e-05,-0.04210076500044463,-0.03744229215300153,-0.05324633397769958,-0.04201332667557279,-0.0374250784982049,-0.053541259941129855
n128,128,256,0.03125,0.0003502379543228951,0.00040462796505505303,0.0006463770992021669,0.001096984031125094,0.0012673306634088995,0.002024406885979423,2.0090890047316802e-05,3.209641145929254e-05,-0.04350243789129592,-0.041420835345516986,-0.03693897038967074,-0.04353716879373172,-0.041468105128684825,-0.03709103906473328
